date,open,high,low,close,volume
2024-01-01,100,102,99,101,1000000
2024-01-02,101,103,100,102,1200000
2024-01-03,102,104,101,101,1100000
2024-01-04,101,105,100,104,1400000
2024-01-05,104,106,103,105,1500000
2024-01-06,105,107,102,103,1300000
2024-01-07,103,104,100,101,1250000
2024-01-08,101,103,99,100,1150000
2024-01-09,100,104,98,103,1600000
2024-01-10,103,108,102,107,1800000
2024-01-11,107,109,105,106,1700000
2024-01-12,106,110,105,109,1900000
2024-01-13,109,112,108,111,2000000
2024-01-14,111,113,109,110,1750000
2024-01-15,110,114,108,113,2100000
2024-01-16,113,116,112,115,2200000
2024-01-17,115,117,113,114,1950000
2024-01-18,114,118,112,117,2300000
2024-01-19,117,120,116,119,2400000
2024-01-20,119,121,117,118,2050000
2024-01-21,118,123,117,122,2500000
2024-01-22,122,124,120,123,2600000
2024-01-23,123,125,121,121,2150000
2024-01-24,121,126,120,125,2700000
2024-01-25,125,128,124,127,2800000
